industry_id,company_name,ticker,segment,source,source_type,post_date,post_url,title,excerpt,post_type,theme,signal_strength,why_it_matters,confidence,run_timestamp
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMiZkFVX3lxTFBocEppUi16clZIc3BUVzUwZkF3cjgxRG96SHBNV1o2V0RWamItbDY3SlFWNjNrRUJLdF9leFU2Z0d2dDZnTkwtYWtXcFpzZGtJYllyckRSbDZqS0NIbEdoYnh6WUhQZw?oc=5,Celebrate 30 years of Pokémon by going out and catching as many Pokémon as you can! - Pokémon GO,Celebrate 30 years of Pokémon by going out and catching as many Pokémon as you can! &nbsp;&nbsp; Pokémon GO,news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMif0FVX3lxTE40ZnBCcWg4TjI4ZzR3ZXd4dGNWYlRPUFY2QXl5X1hxa1MzNEROejZmbkNmdmZvUE1YQTJWc2M4WG9hZTMzM2pYVklUZ3Z4UGtEUm1LT3UxVDAwc2NnUUlyUS1xZkpOMjdiTE1NNnVhNmdPVkVUd3FVOVRTb1JsSGM?oc=5,"Paul McCartney, Unfiltered, Part 2: “Go Back and Look at Who Wrote the Hits” - Vanity Fair","Paul McCartney, Unfiltered, Part 2: “Go Back and Look at Who Wrote the Hits” &nbsp;&nbsp; Vanity Fair",news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMioAFBVV95cUxPUzNxYnZGYWVzTWZTLVQ3TEszSTZSSjk5SjEyanV6QXQtN2kzcEJtRzUxQkpOODdOWmdRdmVhRWNHSTBYUUtHdWEwTEI2RjB3dVRXTDcybHdUeE55bHZIRzRvT1dUdVFNVm82dWZXYnhqS3NNQlBNRmxLTzJpNGJKa1hVMjNIMnVwam1JbHVfeFlnanZyZktKVWlueDVtdTJz?oc=5,"The Diggy Coit Story: Oh, The Places He’ll Go - University of Maryland Athletics","The Diggy Coit Story: Oh, The Places He’ll Go &nbsp;&nbsp; University of Maryland Athletics",news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQRzJqVFVZV211aXMxby1lWW1VRzdNYzd4YmpaQ3pmMFRUbGNZVnIyb2Q1LVVOb0UtSHRuT2NWQ1I3MUFrd0l4Y3RiVF96ekR0MGJtZHpoMWFYSEpSaHJYMmhsVWlhMVN2Sk9LSHRGTnlqdEJWb2dvdjI4bkZWcUh3SFF0SnFtQkV6ZTkxSFVFWWRlVndzQzJ6WElaejRzOG4tUm13Rnl6Uno?oc=5,Know Before You Go: Sporting KC vs Columbus Crew Tomorrow at Sporting Park - Sporting Kansas City,Know Before You Go: Sporting KC vs Columbus Crew Tomorrow at Sporting Park &nbsp;&nbsp; Sporting Kansas City,news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMiwgFBVV95cUxOMDhtb3lNbERsQVZ4VklIbGc1Zjh4b01sMmNKM2dSRUxSTTY2V3BBTEtIUGhEUjlaSWpWaWI0MEpZQU1URldEbUdYM1FrNkpYQXc0b2dwU2p2azZwUkhnWnBHUDVMNFhKNy04NlQ3M3RyR1VITWtreFIzaVpVZ3JsN2hNQ2ZXS2tqT2R3QXBlcjFpMTJZVkttcTgzRWhvUEoxM2lTNHpaVV9sRFVQdkZuX2xtYUlYWVpPUTV0NEIyY3RTZw?oc=5,Mark Your Calendars: Go Saxons Day of Giving Begins March 24 - Alfred University,Mark Your Calendars: Go Saxons Day of Giving Begins March 24 &nbsp;&nbsp; Alfred University,news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNZ3BYZzdTQUhpYkRYdXBIQlh3eXJPaEVJa0Y5SE0wcTBMbS0yRm5NOThITTZWczJqWmltQUotNUFadGJhU1FLcnpUVkh5RXlCYzMtbmZLV1JTcTh1aFdhSXNCQzR2VmZ5QWJfSXBGdDIwRTNraWJfQUxLVjRsaUpYTEFiVFF3cnhk?oc=5,Drew Litton: Letting go can be hard - The Colorado Sun,Drew Litton: Letting go can be hard &nbsp;&nbsp; The Colorado Sun,news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMivAFBVV95cUxQSldHSHB2RHA3THoyZEoyc0dsMkx5VjF1VlZRMkRGcUdjV2stUV9RVzhXQlVLSVJvNkJXc24xY3ZxSl82Ukt1eGMxX0p2U0JTSkw0a1RLSk55dVR2aTh2VnFya3RFUEpoeS1mZy05NEZCaFVDSC1ZRG8zd0JzVjFsZ05yM3VxcHZ5RXpLTmdSVFFHVGdXQ04yYkJ6bmRhUG9pMlJreTZHY1VGMzBHdUdoWkNrV1dELVFyMi02Mg?oc=5,Go Texan Day! Trail riders meet up in Memorial Park ahead of Houston's Downtown Rodeo Parade - KHOU,Go Texan Day! Trail riders meet up in Memorial Park ahead of Houston's Downtown Rodeo Parade &nbsp;&nbsp; KHOU,news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMinAFBVV95cUxQenhCSklaZnAzcXVQMXRITmp4TlVoZEhVd2lmUElxMmxPZHh6YmlKYXZ6OC1kcWFfSGYxdmprT0NEMkM0STU3RmFwcXhxZWdlbk93RUIyeThNbmNvRlNrMjFqRUNBemZXeGxiWE9McUpzY2dPbkYtTE5nbldEd2t6SFo5d0R3TDJvLXZ6NDdmYUN6Nms5R25lVVNGVmE?oc=5,Go 4th Fridays: How LR Business (like Chick-fil-A) use AI Agents & Assistants - University of Arkansas at Little Rock,Go 4th Fridays: How LR Business (like Chick-fil-A) use AI Agents & Assistants &nbsp;&nbsp; University of Arkansas at Little Rock,news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMijgFBVV95cUxOSGp5T0kwaEFfZVRTdExoeTgxQVBXbzNUZTlaSW1zQVBwT2lPMWhlQllSbWd0WDZ6cDIzcmFtUVlZNWQ4SzFVYW42QlVOUGpoRFR3Qm41b0xEQjVJaDlMbjFXaGRsYjVWbTV1dDZJUE11bWE3aVVWY2hfRDlkQk12Q0NTX2llNFFlbU14MzVB?oc=5,"Know Before You Go: MNUFC vs. FC Cincinnati | February 28, 2026 - Minnesota United FC","Know Before You Go: MNUFC vs. FC Cincinnati | February 28, 2026 &nbsp;&nbsp; Minnesota United FC",news,data_strategy,moderate,,0.5,20260228_000548
consumer,Grocery Outlet,GO,pe_mid,news.google.com,google_news,2026-02-27,https://news.google.com/rss/articles/CBMi2AFBVV95cUxORHpkbkh5WU9Yc1dRbW1oODB6MTdsRUozNGNpYTFyZFVodXEzZDA0c0RfSENmc0NtTnNxckdKYkdkU1IyUGZSNGFTdWthNng2aHZhaS1IMkJBSXVLV2xtdnhRLWNSV0pfM1VuSVBESlhhVTR3STVBT1VlUmR2Q29OcVFMbkZXS2txMVkwN2dabXJMSXRVZzY1X1lOSE5neGFGZzUybk9WOUVpTVczanFJUVBnLU1zRWstUW5iUmFnekJrMGNfTkJkTlZtMmFkY1ZDY3p1b0hzaTY?oc=5,MiLEAP and The Kresge Foundation Partner to Support Early Childhood Educators Through Neighborhood-Based Pilot - State of Michigan (.gov),MiLEAP and The Kresge Foundation Partner to Support Early Childhood Educators Through Neighborhood-Based Pilot &nbsp;&nbsp; State of Michigan (.gov),news,data_strategy,moderate,,0.5,20260228_000548
